gene_id	amr_class	munk2018_amr_group	new_amr_group	gene_length_bp	short_gene
erm(36)_1_AF462611	Macrolide	Macrolide	Macrolide	846	erm(36)_1
tet(M)_9_X56353	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_9
blaOXA-164_1_GU831575	Beta-Lactam	Beta-Lactam	Beta-Lactam	843	blaOXA-164_1
aph(2__)-Id_1_AF016483	Aminoglycoside	Aminoglycoside	Aminoglycoside	906	aph(2__)-Id_1
tet(M)_2_X90939	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_2
mph(C)_3_AM180068	Macrolide	Macrolide	Macrolide	900	mph(C)_3
blaSPU-1_1_GQ919044	Beta-Lactam	Beta-Lactam	Beta-Lactam	882	blaSPU-1_1
aadA1_2_FJ591054	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA1_2
npmA_1_AB261016	Aminoglycoside	Aminoglycoside	Aminoglycoside	660	npmA_1
blaOXA-184_1_JQ396378	Beta-Lactam	Beta-Lactam	Beta-Lactam	747	blaOXA-184_1
cfiA13_1_FM200787	Beta-Lactam	Beta-Lactam	Beta-Lactam	750	cfiA13_1
aph(2__)-Ig_1_CP004067	Aminoglycoside	Aminoglycoside	Aminoglycoside	921	aph(2__)-Ig_1
aadA1_3_JQ414041	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA1_3
tet(M)_7_FN433596	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_7
aph(3__)-Ib_4_AF313472	Aminoglycoside	Aminoglycoside	Aminoglycoside	804	aph(3__)-Ib_4
str_2_FN435330	Aminoglycoside	Aminoglycoside	Aminoglycoside	849	str_2
erm(43)_1_HE650138	Macrolide	Macrolide	Macrolide	732	erm(43)_1
tet(B)_1_AP000342	Tetracycline	Tetracycline	Tetracycline	1206	tet(B)_1
tet(H)_2_AJ245947	Tetracycline	Tetracycline	Tetracycline	1179	tet(H)_2
aph(6)-Id_2_AF024602	Aminoglycoside	Aminoglycoside	Aminoglycoside	837	aph(6)-Id_2
blaBRO-1_1_Z54180	Beta-Lactam	Beta-Lactam	Beta-Lactam	945	blaBRO-1_1
cfxA4_1_AY769933	Beta-Lactam	Beta-Lactam	Beta-Lactam	966	cfxA4_1
blaTEM-1A_1_HM749966	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-1A_1
mef(B)_1_FJ196385	Macrolide	Macrolide	Macrolide	1230	mef(B)_1
aadA2_2_JQ364967	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA2_2
blaTEM-208_1_KC865667	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-208_1
tet(W)_1_DQ060146	Tetracycline	Tetracycline	Tetracycline	1920	tet(W)_1
erm(A)_3_EU348758	Macrolide	Macrolide	Macrolide	594	erm(A)_3
sul3_2_AJ459418	Sulphonamide	Sulphonamide	Sulphonamide	792	sul3_2
blaTEM-182_1_HQ317449	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-182_1
blaTEM-219_1_KM114268	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-219_1
aadA10_2_AM087405	Aminoglycoside	Aminoglycoside	Aminoglycoside	834	aadA10_2
aadA13_1_AY713504	Aminoglycoside	Aminoglycoside	Aminoglycoside	798	aadA13_1
dfrA32_1_GU067642	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA32_1
sul2_18_AJ830714	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_18
sul1_17_AM746675	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_17
blaCTX-M-1_1_DQ915955	Beta-Lactam	Beta-Lactam	Beta-Lactam	876	blaCTX-M-1_1
blaTEM-122_1_AY307100	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-122_1
tet(A)_3_AY196695	Tetracycline	Tetracycline	Tetracycline	1200	tet(A)_3
aac(6_)-Iid_1_AJ584700	Aminoglycoside	Aminoglycoside	Aminoglycoside	549	aac(6_)-Iid_1
qnrB81_1_KX372671	Quinolone	Quinolone	Quinolone	645	qnrB81_1
ere(A)_6_DQ157752	Macrolide	Macrolide	Macrolide	1221	ere(A)_6
cml_1_M22614	Phenicol	Phenicol	Phenicol	909	cml_1
aadA3_1_AF047479	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA3_1
cmlA1_1_M64556	Phenicol	Phenicol	Phenicol	1260	cmlA1_1
blaTEM-108_1_AF506748	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-108_1
mph(A)_1_D16251	Macrolide	Macrolide	Macrolide	906	mph(A)_1
blaPAO_1_AY083595	Beta-Lactam	Beta-Lactam	Beta-Lactam	1194	blaPAO_1
aadA16_1_EU675686	Aminoglycoside	Aminoglycoside	Aminoglycoside	846	aadA16_1
blaTEM-176_1_GU550123	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-176_1
